TTI(ms)	UE(id)	Data(Bytes)	avg_R0(cqi)	avg_R1(cqi)	avg_R2(cqi)
-------------------------------------------------
1	0	550	82.50(11)	0.00(11)	0.00(5)
2	2	500	70.12(12)	0.00(4)	75.00(10)
3	1	500	59.61(7)	75.00(10)	63.75(15)
4	0	750	163.17(15)	63.75(10)	54.19(11)
5	2	500	138.69(2)	54.19(5)	121.06(12)
6	1	450	117.89(6)	113.56(9)	102.90(3)
7	1	600	100.20(12)	186.53(12)	87.47(13)
8	1	100	85.17(1)	173.55(2)	74.35(3)
9	0	550	154.90(11)	147.51(6)	63.19(7)
10	1	550	131.66(2)	207.89(11)	53.71(11)
11	1	650	111.91(3)	274.20(13)	45.66(14)
12	0	50	102.63(1)	233.07(2)	38.81(8)
13	0	500	162.23(10)	198.11(8)	32.99(8)
14	0	550	220.40(11)	168.40(5)	28.04(14)
15	0	700	292.34(14)	143.14(4)	23.83(6)
16	1	600	248.49(10)	211.67(12)	20.26(15)
17	0	550	293.71(11)	179.92(7)	17.22(8)
18	1	750	249.66(9)	265.43(15)	14.64(6)
19	0	650	309.71(13)	225.61(3)	12.44(11)
20	0	150	285.75(11)	191.77(8)	10.58(5)
21	1	300	242.89(12)	208.01(6)	8.99(14)
22	1	500	206.46(12)	251.81(13)	7.64(2)
